time, ch1, ch2, ch3, ch4, ch5, ch6, ch7
2.375950012207031250e+02, 3.666000061035156250e+02, 3.920045471191406250e+01, 2.193228607177734375e+02, 4.260779953002929688e+01, 1.491859893798828125e+02, 2.851119079589843750e+02, 1.942068328857421875e+02, 0.000000000000000000e+00
2.375983276367187500e+02, 3.696000061035156250e+02, 4.129513549804687500e+01, 2.151338958740234375e+02, 4.470818710327148438e+01, 1.446743164062500000e+02, 2.839139709472656250e+02, 1.966007537841796875e+02, 0.000000000000000000e+00
2.376016693115234375e+02, 3.741000061035156250e+02, 4.937461853027343750e+01, 2.196220855712890625e+02, 4.350796508789062500e+01, 1.470805358886718750e+02, 2.818175354003906250e+02, 1.963015136718750000e+02, 0.000000000000000000e+00
2.376049957275390625e+02, 3.855000000000000000e+02, 5.446170043945312500e+01, 2.268031768798828125e+02, 4.980911636352539062e+01, 1.383579711914062500e+02, 2.800206298828125000e+02, 2.088695983886718750e+02, 0.000000000000000000e+00
2.376083374023437500e+02, 3.857999877929687500e+02, 4.698069763183593750e+01, 2.309921722412109375e+02, 5.040922927856445312e+01, 1.380571899414062500e+02, 2.758277893066406250e+02, 2.022863159179687500e+02, 0.000000000000000000e+00
2.376116638183593750e+02, 3.765000000000000000e+02, 4.608297729492187500e+01, 2.321890106201171875e+02, 5.551016235351562500e+01, 1.419673156738281250e+02, 2.842134704589843750e+02, 1.963015136718750000e+02, 0.000000000000000000e+00
2.376150054931640625e+02, 3.765000000000000000e+02, 4.817765808105468750e+01, 2.294961090087890625e+02, 5.220956039428710938e+01, 1.431704254150390625e+02, 2.824165344238281250e+02, 2.025855560302734375e+02, 0.000000000000000000e+00
2.376183319091796875e+02, 3.822000122070312500e+02, 4.518525695800781250e+01, 2.247086944580078125e+02, 4.590840530395507812e+01, 1.422680816650390625e+02, 2.830155029296875000e+02, 2.052787170410156250e+02, 0.000000000000000000e+00
2.376216735839843750e+02, 3.752999877929687500e+02, 4.129513549804687500e+01, 2.181260223388671875e+02, 3.990730667114257812e+01, 1.404634246826171875e+02, 2.815180664062500000e+02, 1.960022735595703125e+02, 0.000000000000000000e+00
2.376250000000000000e+02, 3.711000061035156250e+02, 3.441261291503906250e+01, 2.208189239501953125e+02, 4.500823974609375000e+01, 1.443735351562500000e+02, 2.806195983886718750e+02, 2.016878356933593750e+02, 0.000000000000000000e+00
2.376283264160156250e+02, 3.711000061035156250e+02, 3.830273437500000000e+01, 2.169291687011718750e+02, 3.990730667114257812e+01, 1.440727539062500000e+02, 2.770257568359375000e+02, 1.971992340087890625e+02, 0.000000000000000000e+00
2.376316680908203125e+02, 3.660000000000000000e+02, 3.441261291503906250e+01, 2.184252319335937500e+02, 4.260779953002929688e+01, 1.437719726562500000e+02, 2.833149719238281250e+02, 1.888205108642578125e+02, 0.000000000000000000e+00
2.376349945068359375e+02, 3.690000000000000000e+02, 2.304148864746093750e+01, 2.241102752685546875e+02, 4.110752487182617188e+01, 1.353501892089843750e+02, 2.695385742187500000e+02, 1.894189910888671875e+02, 0.000000000000000000e+00
2.376383361816406250e+02, 3.732000122070312500e+02, 3.501109313964843750e+01, 2.277008209228515625e+02, 4.350796508789062500e+01, 1.362525177001953125e+02, 2.719344787597656250e+02, 1.930098724365234375e+02, 0.000000000000000000e+00
2.376416625976562500e+02, 3.630000000000000000e+02, 4.608297729492187500e+01, 2.309921722412109375e+02, 4.830884170532226562e+01, 1.416665344238281250e+02, 2.791221618652343750e+02, 1.795440673828125000e+02, 0.000000000000000000e+00
2.376450042724609375e+02, 3.698999938964843750e+02, 4.578373718261718750e+01, 2.291968841552734375e+02, 4.680856704711914062e+01, 1.407641906738281250e+02, 2.818175354003906250e+02, 1.933091125488281250e+02, 0.000000000000000000e+00
2.376483306884765625e+02, 3.612000122070312500e+02, 4.159437561035156250e+01, 2.291968841552734375e+02, 5.130939102172851562e+01, 1.365532989501953125e+02, 2.776247253417968750e+02, 1.894189910888671875e+02, 0.000000000000000000e+00
2.376516723632812500e+02, 3.677999877929687500e+02, 3.800349426269531250e+01, 2.351811370849609375e+02, 5.551016235351562500e+01, 1.431704254150390625e+02, 2.791221618652343750e+02, 1.933091125488281250e+02, 0.000000000000000000e+00
2.376549987792968750e+02, 3.816000061035156250e+02, 3.680653381347656250e+01, 2.369764251708984375e+02, 5.280966567993164062e+01, 1.398618621826171875e+02, 2.860103759765625000e+02, 2.016878356933593750e+02, 0.000000000000000000e+00
2.376583404541015625e+02, 3.707999877929687500e+02, 4.129513549804687500e+01, 2.282992401123046875e+02, 4.920901107788085938e+01, 1.419673156738281250e+02, 2.788226623535156250e+02, 1.939075927734375000e+02, 0.000000000000000000e+00
2.376616668701171875e+02, 3.726000061035156250e+02, 4.428753662109375000e+01, 2.321890106201171875e+02, 5.070928573608398438e+01, 1.494867706298828125e+02, 2.824165344238281250e+02, 1.927106323242187500e+02, 0.000000000000000000e+00
2.376649932861328125e+02, 3.773999938964843750e+02, 3.411337280273437500e+01, 2.199212951660156250e+02, 4.380801773071289062e+01, 1.374556427001953125e+02, 2.704370422363281250e+02, 1.918129119873046875e+02, 0.000000000000000000e+00
2.376683349609375000e+02, 3.600000000000000000e+02, 3.022325134277343750e+01, 2.124409790039062500e+02, 3.780691909790039062e+01, 1.353501892089843750e+02, 2.626503601074218750e+02, 1.804417877197265625e+02, 0.000000000000000000e+00
2.376716613769531250e+02, 3.617999877929687500e+02, 3.830273437500000000e+01, 2.139370422363281250e+02, 4.170763778686523438e+01, 1.461782073974609375e+02, 2.737314147949218750e+02, 1.834341888427734375e+02, 0.000000000000000000e+00
2.376750030517578125e+02, 3.765000000000000000e+02, 4.368905639648437500e+01, 2.282992401123046875e+02, 4.440813064575195312e+01, 1.467797546386718750e+02, 2.818175354003906250e+02, 1.930098724365234375e+02, 0.000000000000000000e+00
2.376783294677734375e+02, 3.638999938964843750e+02, 3.441261291503906250e+01, 2.181260223388671875e+02, 4.170763778686523438e+01, 1.431704254150390625e+02, 2.797211608886718750e+02, 1.822372283935546875e+02, 0.000000000000000000e+00
2.376816711425781250e+02, 3.696000061035156250e+02, 4.249209594726562500e+01, 2.244094848632812500e+02, 4.410807418823242188e+01, 1.413657531738281250e+02, 2.791221618652343750e+02, 1.986954345703125000e+02, 0.000000000000000000e+00
2.376849975585937500e+02, 3.747000122070312500e+02, 4.338981628417968750e+01, 2.288976745605468750e+02, 4.680856704711914062e+01, 1.395610809326171875e+02, 2.782237243652343750e+02, 1.974984741210937500e+02, 0.000000000000000000e+00
2.376883392333984375e+02, 3.872999877929687500e+02, 5.146929931640625000e+01, 2.321890106201171875e+02, 4.770873641967773438e+01, 1.467797546386718750e+02, 2.875078125000000000e+02, 2.091688385009765625e+02, 0.000000000000000000e+00
2.376916656494140625e+02, 3.846000061035156250e+02, 4.608297729492187500e+01, 2.339842987060546875e+02, 5.310972213745117188e+01, 1.470805358886718750e+02, 2.875078125000000000e+02, 2.082711181640625000e+02, 0.000000000000000000e+00
2.376950073242187500e+02, 3.951000061035156250e+02, 4.937461853027343750e+01, 2.336850738525390625e+02, 5.551016235351562500e+01, 1.425688629150390625e+02, 2.866093444824218750e+02, 2.193430023193359375e+02, 0.000000000000000000e+00
2.376983337402343750e+02, 3.897000122070312500e+02, 4.368905639648437500e+01, 2.324882354736328125e+02, 5.460999679565429688e+01, 1.386587524414062500e+02, 2.833149719238281250e+02, 2.133582000732421875e+02, 0.000000000000000000e+00
2.377016601562500000e+02, 3.797999877929687500e+02, 5.386322021484375000e+01, 2.345827178955078125e+02, 5.340977859497070312e+01, 1.452758636474609375e+02, 2.869088439941406250e+02, 1.921121520996093750e+02, 0.000000000000000000e+00
2.377050018310546875e+02, 3.765000000000000000e+02, 4.907537841796875000e+01, 2.318898010253906250e+02, 4.980911636352539062e+01, 1.446743164062500000e+02, 2.779242248535156250e+02, 1.957030334472656250e+02, 0.000000000000000000e+00
2.377083282470703125e+02, 3.767999877929687500e+02, 4.997309875488281250e+01, 2.268031768798828125e+02, 4.380801773071289062e+01, 1.446743164062500000e+02, 2.785231933593750000e+02, 2.034832763671875000e+02, 0.000000000000000000e+00
2.377116699218750000e+02, 3.752999877929687500e+02, 5.117005920410156250e+01, 2.285984649658203125e+02, 4.800878906250000000e+01, 1.461782073974609375e+02, 2.806195983886718750e+02, 2.001916351318359375e+02, 0.000000000000000000e+00
